,danceability,instrumentalness,energy,acousticness,explicit,speechiness,valence,popularity_artist,pop_three
24,0.7909999999999999,0.41600000000000004,0.47600000000000003,0.187,0,0.0718,0.885,1,1
25,0.662,0.905,0.401,0.941,0,0.0388,0.669,18,2
26,0.8059999999999999,0.7909999999999999,0.674,0.0557,0,0.0499,0.316,0,1
27,0.4,0.63,0.547,0.8909999999999999,0,0.0467,0.857,12,2
28,0.442,0.0,0.604,0.0279,0,0.449,0.40299999999999997,0,1
29,0.316,0.8590000000000001,0.10800000000000001,0.9359999999999999,0,0.0375,0.188,13,2
30,0.623,0.898,0.384,0.812,0,0.0369,0.272,0,1
31,0.233,0.9279999999999999,0.131,0.9470000000000001,0,0.0411,0.1,18,2
32,0.8320000000000001,0.00023799999999999998,0.687,0.125,0,0.0779,0.322,0,1
33,0.5,0.914,0.33899999999999997,0.9420000000000001,0,0.0497,0.272,13,2
34,0.575,0.0,0.963,0.309,0,0.0918,0.9209999999999999,0,1
35,0.293,0.9259999999999999,0.161,0.9520000000000001,0,0.0324,0.209,33,2
36,0.5589999999999999,0.248,0.336,0.7390000000000001,0,0.0457,0.645,16,2
37,0.642,0.943,0.391,0.94,0,0.0324,0.711,16,2
38,0.21899999999999997,0.922,0.0855,0.9740000000000001,0,0.0404,0.156,13,2
39,0.21899999999999997,0.922,0.0855,0.9740000000000001,0,0.0404,0.156,13,2
40,0.19,0.875,0.06,0.973,0,0.0371,0.0747,13,2
41,0.503,0.473,0.147,0.961,0,0.0545,0.447,13,2
42,0.391,0.379,0.45,0.9009999999999999,0,0.0587,0.609,13,2
43,0.386,0.919,0.602,0.873,0,0.0658,0.406,13,2
44,0.6990000000000001,0.917,0.009609999999999999,0.9840000000000001,0,0.45299999999999996,0.0403,15,1
45,0.7040000000000001,0.96,0.0317,0.988,0,0.0874,0.0658,1,1
46,0.604,0.86,0.0123,0.985,0,0.293,0.129,2,1
47,0.805,0.938,0.0242,0.992,0,0.0602,0.0878,2,1
